brand,model,year,fuel,transmission,owner,km_driven,mileage_num,engine_num,max_power_num,price_lakh
Toyota,Innova 2.5,2012,Diesel,Manual,Second Owner,145000,12.99,2494.0,100.0,6.0
Hyundai,i20 Sportz,2012,Petrol,Manual,First Owner,120000,18.5,1197.0,82.85,3.0
Tata,New Safari,2011,Diesel,Manual,First Owner,120000,13.93,2179.0,138.1,2.4
Ford,Figo 1.5D,2016,Diesel,Manual,First Owner,80000,25.83,1498.0,99.0,3.77
Maruti,Ertiga VXI,2013,Petrol,Manual,First Owner,140000,16.02,1373.0,93.7,4.5
Hyundai,Verna Xi,2008,Petrol,Manual,Fourth & Above Owner,100000,13.9,1599.0,103.2,1.6
Hyundai,Xcent 1.2,2019,Petrol,Manual,First Owner,100000,20.14,1197.0,81.86,5.25
Toyota,Innova 2.5,2011,Diesel,Manual,Second Owner,168000,12.8,2494.0,102.0,5.5
Chevrolet,Cruze LTZ,2010,Diesel,Manual,Third Owner,120000,18.3,1991.0,147.9,2.7
Toyota,Etios GD,2016,Diesel,Manual,Second Owner,145000,23.59,1364.0,67.05,5.7
Ford,Figo Diesel,2011,Diesel,Manual,Second Owner,90000,20.0,1399.0,68.0,2.25
Hyundai,Xcent 1.2,2019,Petrol,Manual,First Owner,90000,20.14,1197.0,81.86,5.9
Jeep,Compass 2.0,2018,Diesel,Manual,First Owner,80000,17.1,1956.0,170.0,16.75
Ford,Aspire Titanium,2019,Petrol,Manual,First Owner,33000,19.4,1194.0,94.93,8.0
Chevrolet,Sail 1.2,2014,Petrol,Manual,First Owner,13500,18.2,1199.0,82.4,4.5
Tata,Indigo LX,2012,Diesel,Manual,First Owner,80000,17.0,1405.0,70.0,3.0
Hyundai,i20 1.2,2017,Petrol,Manual,First Owner,20000,18.6,1197.0,81.83,6.45
Maruti,Swift Dzire,2013,Diesel,Manual,First Owner,58000,23.4,1248.0,74.0,5.2
Hyundai,EON Magna,2013,Petrol,Manual,First Owner,40000,21.1,814.0,55.2,2.0
Honda,City i,2015,Petrol,Manual,First Owner,30000,17.4,1497.0,117.3,7.0
Maruti,800 AC,2000,Petrol,Manual,Second Owner,50000,16.1,796.0,37.0,0.45
Ford,Figo Aspire,2016,Diesel,Manual,First Owner,73000,25.83,1498.0,99.0,4.6
Maruti,Ritz VDi,2014,Diesel,Manual,Second Owner,90000,23.2,1248.0,73.94,3.25
Maruti,Wagon R,2015,Petrol,Manual,Second Owner,50000,20.51,998.0,67.04,3.5
Hyundai,Verna 1.6,2011,Diesel,Manual,Third Owner,80000,22.32,1582.0,126.3,4.4
Hyundai,i20 1.4,2011,Diesel,Manual,Second Owner,70000,21.9,1396.0,90.0,3.2
Chevrolet,Spark 1.0,2011,Petrol,Manual,First Owner,41000,18.0,995.0,62.0,1.69
Volkswagen,Polo Petrol,2013,Petrol,Manual,Fourth & Above Owner,50000,16.47,1198.0,73.9,3.5
Ford,Classic 1.4,2014,Diesel,Manual,First Owner,113226,19.68,1399.0,67.0,3.5
Ford,Figo Diesel,2013,Diesel,Manual,Second Owner,90000,20.0,1399.0,68.1,3.1
Mahindra,Scorpio M2DI,2010,Diesel,Manual,Fourth & Above Owner,160500,13.5,2179.0,115.0,4.2
Maruti,Ciaz AT,2015,Petrol,Automatic,First Owner,30000,19.12,1373.0,91.1,6.85
Renault,Duster 4x4,2014,Diesel,Manual,Second Owner,132000,19.72,1461.0,108.45,5.6
Maruti,Swift VDI,2013,Diesel,Manual,Third Owner,120000,22.9,1248.0,74.0,4.7
Hyundai,Verna Transform,2011,Petrol,Manual,Second Owner,80000,16.2,1599.0,103.2,3.8
Mahindra,Scorpio 1.99,2015,Diesel,Manual,Second Owner,57000,15.4,1997.0,120.0,6.7
Maruti,Swift Dzire,2018,Petrol,Manual,First Owner,5000,22.0,1197.0,81.8,5.5
Hyundai,Verna 1.6,2016,Petrol,Manual,First Owner,25000,17.01,1591.0,121.3,7.49
Hyundai,Creta 1.6,2015,Diesel,Manual,Second Owner,80000,19.67,1582.0,126.2,8.99
Chevrolet,Optra Magnum,2011,Diesel,Manual,Third Owner,88000,16.52,1991.0,123.7,2.9
Toyota,Innova 2.5,2014,Diesel,Manual,Second Owner,217000,12.99,2494.0,100.6,8.7
Datsun,GO Plus,2015,Petrol,Manual,First Owner,60000,20.62,1198.0,67.0,3.5
Maruti,Swift Dzire,2017,Petrol,Manual,First Owner,43000,20.85,1197.0,83.14,5.0
Skoda,Rapid 1.5,2014,Diesel,Automatic,Second Owner,77000,21.66,1498.0,103.6,4.0
Renault,KWID RXT,2016,Petrol,Manual,First Owner,30000,25.17,799.0,53.3,2.6
Maruti,Alto 800,2015,Petrol,Manual,Second Owner,40000,22.74,796.0,47.3,2.2
Chevrolet,Enjoy TCDi,2014,Diesel,Manual,Second Owner,139000,18.2,1248.0,73.8,1.9
Hyundai,Grand i10,2016,Petrol,Manual,First Owner,80000,18.9,1197.0,82.0,4.0
Chevrolet,Beat Diesel,2014,Diesel,Manual,Second Owner,76000,25.44,936.0,56.3,1.7
Hyundai,Elite i20,2019,Petrol,Manual,First Owner,3500,18.6,1197.0,81.86,6.5
Maruti,800 AC,2007,Petrol,Manual,Second Owner,62000,16.1,796.0,37.0,0.6
Tata,New Safari,2007,Petrol,Manual,Second Owner,110000,12.0,2092.0,127.0,3.0
Chevrolet,Spark 1.0,2012,Petrol,Manual,Second Owner,40000,16.2,995.0,62.1,1.25
Maruti,Alto LX,2011,Petrol,Manual,Third Owner,70000,19.7,796.0,46.3,1.7
Maruti,Swift Dzire,2012,Diesel,Manual,Second Owner,77000,19.3,1248.0,73.9,3.1
Chevrolet,Spark 1.0,2011,Petrol,Manual,Second Owner,110000,18.0,995.0,62.0,1.3
Maruti,Wagon R,2016,Petrol,Manual,First Owner,20000,20.51,998.0,67.04,4.65
Mercedes-Benz,E-Class E270,2005,Diesel,Automatic,Second Owner,120005,11.0,2987.0,198.5,8.0
Maruti,Alto K10,2012,Petrol,Manual,First Owner,16830,20.2,998.0,67.1,2.6
Mahindra,Bolero 2011-2019,2013,Diesel,Manual,First Owner,70000,15.96,2523.0,63.0,5.0
Renault,KWID 1.0,2017,Petrol,Manual,First Owner,38000,23.01,999.0,67.0,3.25
Mahindra,Bolero 2011-2019,2013,Diesel,Manual,First Owner,80000,15.96,2523.0,63.0,4.0
Toyota,Fortuner 2.8,2018,Diesel,Manual,First Owner,50000,14.24,2755.0,174.5,32.0
Tata,Indica V2,2007,Diesel,Manual,First Owner,50000,17.88,1396.0,52.8,2.0
Mahindra,Quanto C2,2013,Diesel,Manual,First Owner,52000,17.21,1493.0,100.0,4.5
Tata,Indigo V,2012,Diesel,Manual,First Owner,50000,17.0,1405.0,70.0,2.3
Hyundai,EON Magna,2016,Petrol,Manual,First Owner,30000,21.1,814.0,55.2,3.4
Mahindra,Bolero 2011-2019,2014,Diesel,Manual,First Owner,103000,15.96,2523.0,62.1,5.5
Ford,Endeavour 3.0L,2011,Diesel,Automatic,Second Owner,93468,11.4,2953.0,153.86,9.75
Volvo,XC40 D4,2019,Diesel,Automatic,First Owner,20000,18.0,1969.0,190.0,38.0
Volkswagen,Jetta 1.6,2010,Petrol,Manual,Second Owner,80000,14.0,1595.0,102.0,2.25
Ford,Endeavour 3.2,2018,Diesel,Automatic,First Owner,12000,10.91,3198.0,197.0,32.5
Tata,Indigo eCS,2013,Diesel,Manual,First Owner,70000,25.0,1396.0,69.0,2.8
Honda,Amaze V,2019,Petrol,Manual,First Owner,4500,19.5,1199.0,88.76,7.0
Tata,Indigo CS,2012,Diesel,Manual,First Owner,35000,23.03,1396.0,69.0,2.59
Toyota,Fortuner 2.8,2018,Diesel,Automatic,First Owner,60000,15.04,2755.0,174.5,32.0
Mahindra,XUV500 W10,2018,Diesel,Manual,First Owner,30000,16.0,1997.0,140.0,14.0
Ford,Figo 1.5P,2015,Petrol,Automatic,First Owner,40000,17.01,1499.0,110.4,4.16
Tata,Manza ELAN,2011,Diesel,Manual,First Owner,70000,19.0,1248.0,90.0,2.5
Tata,Manza Aura,2010,Diesel,Manual,First Owner,120000,21.12,1248.0,88.8,2.1
Mahindra,Scorpio VLX,2008,Diesel,Manual,Second Owner,120000,12.05,2179.0,120.0,2.9
Tata,Indigo CS,2012,Diesel,Manual,First Owner,90000,23.03,1396.0,69.0,2.2
Tata,Indigo eCS,2012,Diesel,Manual,Second Owner,35000,23.03,1396.0,69.0,2.46
Maruti,Omni E,2018,Petrol,Manual,First Owner,30000,16.8,796.0,34.2,2.6
Hyundai,Creta 1.4,2018,Diesel,Manual,First Owner,70000,21.38,1396.0,88.7,10.5
Tata,Manza Club,2012,Diesel,Manual,First Owner,60000,21.02,1248.0,88.76,2.9
Tata,Indigo eCS,2013,Diesel,Manual,First Owner,70000,25.0,1396.0,69.0,3.1
Hyundai,i20 1.2,2018,Petrol,Manual,First Owner,6000,18.6,1197.0,81.83,7.0
Maruti,Swift VXI,2016,Petrol,Manual,First Owner,20000,20.4,1197.0,81.8,5.5
Tata,Indigo CS,2017,Diesel,Manual,First Owner,70000,19.09,1405.0,69.01,4.5
Honda,City i,2016,Petrol,Manual,First Owner,65000,17.8,1497.0,117.3,7.73
Tata,Tiago 1.2,2017,Petrol,Manual,First Owner,25000,23.84,1199.0,84.0,4.5
Maruti,Eeco 5,2019,Petrol,Manual,First Owner,10000,15.37,1196.0,73.0,4.1
Maruti,800 Std,2003,Petrol,Manual,Fourth & Above Owner,35000,16.1,796.0,37.0,0.45
Nissan,Teana XL,2014,Petrol,Automatic,Second Owner,80000,11.07,2496.0,179.5,6.0
Chevrolet,Beat LT,2010,Petrol,Manual,First Owner,63000,18.6,1199.0,79.4,2.5
Tata,Indica V2,2008,Diesel,Manual,First Owner,100000,16.8,1405.0,62.0,0.7
Honda,Amaze S,2019,Petrol,Manual,First Owner,1303,17.8,1198.0,86.7,6.9
Audi,Q5 35TDI,2018,Diesel,Automatic,First Owner,31800,17.01,1968.0,188.0,39.75
Lexus,ES 300h,2019,Petrol,Automatic,First Owner,20000,22.37,2487.0,214.56,51.5
Jaguar,XF 2.0,2017,Diesel,Automatic,First Owner,45000,19.33,1999.0,177.0,32.0
Jeep,Wrangler 2016-2019,2017,Petrol,Automatic,First Owner,17000,9.5,3604.0,280.0,41.0
Toyota,Yaris V,2018,Petrol,Manual,First Owner,4295,17.1,1496.0,105.5,10.0
Toyota,Yaris V,2018,Petrol,Manual,First Owner,5229,17.1,1496.0,105.5,10.0
Toyota,Camry 2.5,2016,Petrol,Automatic,First Owner,68089,19.16,2494.0,157.7,20.0
Maruti,Ciaz 1.3,2018,Diesel,Manual,First Owner,23712,28.09,1248.0,88.5,9.25
Honda,Jazz VX,2016,Petrol,Manual,First Owner,56494,18.2,1199.0,88.7,5.5
Maruti,Wagon R,2018,Petrol,Manual,First Owner,16589,20.51,998.0,67.04,4.3
Toyota,Innova 2.5,2013,Diesel,Manual,Second Owner,79328,12.99,2494.0,100.6,7.5
Honda,City i,2016,Petrol,Manual,Second Owner,53201,17.8,1497.0,117.3,6.75
Maruti,Baleno Delta,2017,Petrol,Manual,First Owner,25272,21.01,1197.0,81.8,5.7
Maruti,Vitara Brezza,2017,Diesel,Manual,First Owner,53619,24.3,1248.0,88.5,8.5
BMW,X4 M,2019,Diesel,Automatic,First Owner,7500,16.78,1995.0,190.0,54.0
BMW,X4 M,2019,Diesel,Automatic,First Owner,8500,16.78,1995.0,190.0,55.0
Honda,Amaze V,2019,Petrol,Automatic,First Owner,7032,19.0,1199.0,88.76,7.79
Ford,Ecosport 1.5,2018,Petrol,Manual,First Owner,6001,15.9,1496.0,120.69,6.4
Tata,Indigo CS,2013,Diesel,Manual,First Owner,80000,19.09,1405.0,69.01,2.5
Renault,Duster 110PS,2018,Diesel,Manual,First Owner,12000,19.6,1461.0,108.45,12.5
Ford,EcoSport 1.5,2017,Petrol,Manual,First Owner,25000,17.0,1497.0,121.31,8.89
Hyundai,i20 2015-2017,2017,Diesel,Manual,Second Owner,40000,22.54,1396.0,88.73,7.5
Maruti,Swift Ldi,2010,Diesel,Manual,Third Owner,130000,17.8,1248.0,75.0,3.2
Skoda,Yeti Ambition,2011,Diesel,Manual,First Owner,202000,17.67,1968.0,138.08,6.0
Maruti,Ciaz S,2018,Diesel,Manual,First Owner,40000,28.09,1248.0,88.5,10.0
Maruti,Zen LX,2000,Petrol,Manual,Fourth & Above Owner,70000,17.3,993.0,60.0,1.1
Honda,City 2017-2020,2008,Petrol,Manual,Second Owner,120000,17.7,1497.0,78.0,2.5
Maruti,Swift Dzire,2015,Diesel,Manual,First Owner,60000,26.59,1248.0,74.0,6.0
Maruti,Zen Estilo,2009,Petrol,Manual,First Owner,60000,19.0,998.0,67.1,1.65
Maruti,Alto LXI,2004,Petrol,Manual,Second Owner,60000,19.7,796.0,46.3,1.18
Maruti,Baleno Delta,2016,Diesel,Manual,First Owner,78000,27.39,1248.0,74.0,7.0
Renault,Duster 85PS,2013,Diesel,Manual,Second Owner,80000,20.46,1461.0,83.8,5.85
Maruti,Alto LXi,2006,Petrol,Manual,Fourth & Above Owner,120000,19.7,796.0,46.3,1.2
Maruti,800 Std,2003,Petrol,Manual,Fourth & Above Owner,90000,16.1,796.0,37.0,0.65
Maruti,Alto LX,2006,Petrol,Manual,Second Owner,100000,19.7,796.0,46.3,1.5
Maruti,Alto Std,2009,Petrol,Manual,Fourth & Above Owner,70000,19.7,796.0,46.3,1.5
Hyundai,Accent VIVA,2004,Diesel,Manual,Third Owner,160000,13.1,1493.0,82.0,1.7
Mahindra,Scorpio 2.6,2006,Diesel,Manual,Third Owner,120000,10.5,2179.0,120.0,2.5
Hyundai,Accent CRDi,2005,Diesel,Manual,Third Owner,100000,13.1,1493.0,82.0,1.0
Maruti,Ertiga VDI,2013,Diesel,Manual,Second Owner,60000,20.77,1248.0,88.76,5.99
Chevrolet,Cruze LTZ,2010,Diesel,Manual,Third Owner,135000,18.3,1991.0,147.9,2.5
Maruti,Swift VXI,2016,Petrol,Manual,First Owner,90000,20.4,1197.0,81.8,5.7
Volkswagen,Polo Diesel,2013,Diesel,Manual,Second Owner,75000,22.07,1199.0,73.9,4.4
Toyota,Innova 2.5,2005,Diesel,Manual,Second Owner,185000,11.4,2494.0,100.6,3.0
Nissan,Micra XV,2015,Petrol,Automatic,Second Owner,71717,19.34,1198.0,76.0,3.0
Mahindra,Scorpio VLX,2011,Diesel,Automatic,Second Owner,150000,11.79,2179.0,120.0,5.0
Maruti,Swift Dzire,2016,Diesel,Manual,First Owner,55000,26.59,1248.0,74.0,6.6
Ford,Fiesta Classic,2012,Petrol,Manual,Second Owner,90000,15.3,1596.0,99.6,2.56
Renault,KWID 1.0,2018,Petrol,Manual,First Owner,35000,23.01,999.0,67.0,4.1
Toyota,Fortuner 4x4,2015,Diesel,Manual,Second Owner,120000,12.55,2982.0,168.5,18.88
Hyundai,Santro Xing,2011,LPG,Manual,Second Owner,100000,13.45,1086.0,62.1,2.5
Honda,Civic 1.8,2009,Petrol,Automatic,Third Owner,40000,12.9,1799.0,130.0,2.8
Mahindra,Xylo D2,2010,Diesel,Manual,First Owner,100000,13.0,2489.0,95.0,3.0
Tata,Safari Storme,2016,Diesel,Manual,First Owner,120000,14.1,2179.0,147.94,9.0
Maruti,Zen Estilo,2014,Petrol,Manual,First Owner,60000,19.0,998.0,67.1,1.9
Mahindra,Bolero Power,2019,Diesel,Manual,First Owner,2000,15.96,2523.0,63.0,8.0
Mahindra,Scorpio EX,2012,Diesel,Manual,First Owner,100000,14.0,2523.0,75.0,4.5
Mahindra,Xylo D2,2015,Diesel,Manual,First Owner,110000,14.95,2489.0,93.7,4.0
Tata,New Safari,2009,Diesel,Manual,Second Owner,90000,13.93,2179.0,138.1,1.5
Tata,Indigo CR4,2011,Diesel,Manual,First Owner,84321,23.57,1396.0,70.0,2.0
Mahindra,XUV500 W8,2013,Diesel,Manual,First Owner,177000,15.1,2179.0,140.0,6.0
Tata,Indica Vista,2010,Diesel,Manual,First Owner,60000,18.0,1248.0,75.0,1.75
Tata,Indigo CS,2008,Diesel,Manual,Second Owner,205000,19.09,1396.0,69.0,0.99
Hyundai,i10 Asta,2008,Petrol,Manual,Second Owner,70000,20.36,1197.0,78.9,2.15
Renault,Duster 110PS,2013,Diesel,Manual,Second Owner,126000,19.01,1461.0,108.45,5.2
Ford,Endeavour 3.2,2016,Diesel,Automatic,Second Owner,120000,10.91,3198.0,197.0,22.8
Tata,Indica Vista,2015,Diesel,Manual,First Owner,70000,19.1,1405.0,70.0,2.85
Mahindra,TUV 300,2017,Diesel,Manual,First Owner,82000,18.49,1493.0,100.0,6.6
Maruti,800 Std,2004,Petrol,Manual,Third Owner,110000,16.1,796.0,37.0,0.32
Maruti,Swift Dzire,2015,Petrol,Manual,Second Owner,45000,20.85,1197.0,83.14,5.15
Nissan,Sunny Diesel,2012,Diesel,Manual,Second Owner,70000,21.64,1461.0,84.8,2.95
Nissan,Terrano XL,2015,Diesel,Manual,Second Owner,80000,20.45,1461.0,83.8,7.0
Mahindra,Scorpio Intelli,2017,Diesel,Manual,First Owner,45000,15.4,2179.0,120.0,11.0
Hyundai,EON 1.0,2017,Petrol,Manual,First Owner,60000,20.3,998.0,68.05,3.0
Maruti,Swift VXI,2013,Petrol,Manual,First Owner,41800,18.6,1197.0,85.8,4.5
Maruti,Swift Dzire,2017,Diesel,Manual,Second Owner,50000,28.4,1248.0,74.02,7.0
Ford,Figo Diesel,2012,Diesel,Manual,First Owner,40000,20.0,1399.0,68.0,2.5
Maruti,Wagon R,2009,Petrol,Manual,Second Owner,96000,18.9,1061.0,67.0,1.4
Mahindra,Xylo D4,2012,Diesel,Manual,First Owner,117000,14.0,2498.0,112.0,2.5
Hyundai,i10 Era,2011,Petrol,Manual,Second Owner,110000,19.81,1086.0,68.05,2.1
Honda,Amaze S,2014,Diesel,Manual,Second Owner,100000,25.8,1498.0,98.6,4.2
Maruti,Alto LXi,2007,Petrol,Manual,Third Owner,88700,19.7,796.0,46.3,1.3
Nissan,Sunny XL,2012,Petrol,Manual,Second Owner,70000,16.95,1498.0,97.7,3.2
Maruti,Wagon R,2010,Petrol,Manual,Second Owner,110000,17.3,1061.0,64.0,2.0
Maruti,Alto 800,2016,Petrol,Manual,First Owner,15000,22.74,796.0,47.3,3.1
Mahindra,Verito 1.5,2012,Diesel,Manual,Second Owner,80000,20.8,1461.0,65.0,2.0
Maruti,Ritz VXi,2014,Petrol,Manual,First Owner,50000,18.5,1197.0,85.8,3.5
Hyundai,EON Sportz,2018,Petrol,Manual,First Owner,15000,21.1,814.0,55.2,4.44
Datsun,RediGO T,2017,Petrol,Manual,First Owner,25000,22.7,799.0,53.64,3.0
Mahindra,Verito 1.5,2011,Diesel,Manual,Second Owner,57000,21.0,1461.0,64.1,2.25
Mahindra,Bolero 2011-2019,2012,Diesel,Manual,First Owner,75000,15.96,2523.0,62.1,6.0
Maruti,Eeco 5,2013,Petrol,Manual,First Owner,26000,15.37,1196.0,73.0,2.6
Hyundai,Xcent 1.1,2015,Diesel,Manual,First Owner,160000,24.4,1120.0,71.01,3.75
Maruti,Eeco 5,2013,Petrol,Manual,First Owner,26000,15.37,1196.0,73.0,2.6
Maruti,Alto LXi,2010,Petrol,Manual,Second Owner,120000,19.7,796.0,46.3,1.5
Maruti,Alto LXi,2014,Petrol,Manual,Second Owner,50000,19.7,796.0,46.3,1.1
Maruti,Alto LX,2012,Petrol,Manual,First Owner,40000,19.7,796.0,46.3,2.25
Honda,City i,2017,Petrol,Manual,First Owner,28000,17.8,1497.0,117.3,8.6
Maruti,Swift Dzire,2018,Diesel,Manual,First Owner,50000,28.4,1248.0,74.02,6.5
Maruti,Ertiga ZDI,2014,Diesel,Manual,First Owner,90000,20.77,1248.0,88.8,6.5
Hyundai,Verna 1.4,2016,Diesel,Manual,First Owner,40000,24.8,1396.0,88.7,7.1
Ford,Figo 1.5D,2017,Diesel,Manual,First Owner,113000,25.83,1498.0,99.0,4.3
Maruti,Swift Vdi,2011,Diesel,Manual,Second Owner,188000,17.8,1248.0,75.0,3.05
Ford,Figo Diesel,2011,Diesel,Manual,First Owner,100000,20.0,1399.0,68.0,2.2
Tata,Sumo MKII,2010,Diesel,Manual,Third Owner,225000,14.0,1948.0,90.0,1.5
Mahindra,TUV 300,2017,Diesel,Manual,Second Owner,67000,18.49,1493.0,100.0,6.6
Chevrolet,Beat Diesel,2011,Diesel,Manual,Fourth & Above Owner,70000,25.44,936.0,57.6,1.4
Toyota,Corolla Altis,2015,Petrol,Manual,First Owner,50000,14.28,1798.0,138.03,11.0
Jaguar,XF 2.2,2013,Diesel,Automatic,First Owner,60000,16.36,2179.0,187.7,24.5
Volkswagen,Ameo 1.5,2017,Diesel,Automatic,First Owner,34000,22.0,1498.0,108.495,6.25
Honda,City 1.5,2004,Petrol,Manual,Third Owner,110000,12.8,1493.0,100.0,1.98
Maruti,Wagon R,2005,Petrol,Manual,Second Owner,140000,18.9,998.0,67.1,1.3
Honda,City Corporate,2012,Petrol,Manual,Second Owner,100000,16.8,1497.0,116.3,5.4
Hyundai,Grand i10,2017,Petrol,Automatic,First Owner,10000,18.9,1197.0,81.86,5.5
Maruti,Celerio ZXI,2018,Petrol,Manual,First Owner,30000,21.63,998.0,67.04,4.75
Audi,Q3 2.0,2017,Diesel,Automatic,First Owner,22000,15.73,1968.0,174.33,28.25
Honda,Civic ZX,2020,Diesel,Manual,First Owner,5500,26.8,1597.0,118.0,21.25
BMW,X1 sDrive20d,2018,Diesel,Automatic,First Owner,18000,19.62,1998.0,190.0,33.5
Toyota,Innova Crysta,2018,Diesel,Automatic,First Owner,20000,11.36,2755.0,171.5,18.0
Hyundai,Santro Asta,2018,Petrol,Manual,First Owner,7000,20.3,1086.0,68.0,5.4
Force,Gurkha Hard,2018,Diesel,Manual,First Owner,20000,17.0,2596.0,80.8,9.1
Maruti,Celerio VXI,2019,Petrol,Manual,First Owner,4875,21.63,998.0,67.04,4.85
Hyundai,Creta 1.6,2020,Diesel,Automatic,First Owner,2700,17.01,1582.0,126.2,19.5
Maruti,Vitara Brezza,2018,Diesel,Manual,First Owner,58511,24.3,1248.0,88.5,9.5
Ford,Figo 1.5D,2015,Diesel,Manual,First Owner,105000,25.83,1498.0,99.0,3.65
Mahindra,Thar CRDe,2018,Diesel,Manual,First Owner,26235,16.55,2498.0,105.0,9.0
Tata,Nexon 1.5,2017,Diesel,Manual,First Owner,26766,21.5,1497.0,108.5,9.2
MG,Hector Sharp,2020,Petrol,Automatic,First Owner,1600,13.96,1451.0,141.0,19.0
Mercedes-Benz,New C-Class,2018,Diesel,Manual,First Owner,46000,15.8,2148.0,170.0,29.5
Mahindra,Marazzo M2,2019,Diesel,Manual,First Owner,23000,17.3,1497.0,121.0,10.75
Maruti,Swift VXI,2017,Petrol,Manual,First Owner,24522,20.4,1197.0,81.8,6.0
BMW,3 Series,2017,Diesel,Automatic,First Owner,13663,22.69,1995.0,190.0,32.0
Skoda,Octavia Style,2019,Diesel,Automatic,First Owner,11000,19.3,1968.0,141.0,26.0
Maruti,Vitara Brezza,2016,Diesel,Manual,First Owner,63000,24.3,1248.0,88.5,8.39
Volkswagen,Polo 1.2,2019,Petrol,Manual,First Owner,2000,16.2,1199.0,74.0,6.35
Mahindra,Scorpio VLX,2014,Diesel,Manual,Third Owner,300000,12.05,2179.0,120.0,5.5
Mahindra,Logan Diesel,2011,Diesel,Manual,Third Owner,190000,19.2,1461.0,65.0,1.8
Honda,City i,2015,Diesel,Manual,First Owner,80000,26.0,1498.0,98.6,6.5
Honda,Jazz Select,2011,Petrol,Manual,Second Owner,80000,16.0,1198.0,90.0,3.5
Maruti,Alto K10,2015,Petrol,Manual,First Owner,54000,23.95,998.0,67.05,2.65
Renault,KWID 1.0,2018,Petrol,Manual,First Owner,30000,23.01,999.0,67.0,3.3
Maruti,Eeco 7,2019,Petrol,Manual,First Owner,5000,15.37,1196.0,73.0,3.95
Mahindra,TUV 300,2015,Diesel,Manual,First Owner,58945,18.49,1493.0,100.0,7.0
Ford,Figo Diesel,2012,Diesel,Manual,First Owner,90000,20.0,1399.0,68.0,3.0
Toyota,Innova 2.5,2011,Diesel,Manual,First Owner,375000,12.8,2494.0,102.0,6.5
Maruti,Ertiga VDI,2013,Diesel,Manual,Third Owner,160000,20.77,1248.0,88.76,6.25
Volkswagen,Polo GT,2014,Diesel,Manual,Second Owner,80000,15.11,1598.0,103.6,4.25
Maruti,800 AC,2004,Petrol,Manual,Third Owner,50000,16.1,796.0,37.0,0.55
Tata,Indigo CS,2015,Diesel,Manual,Second Owner,80000,19.09,1405.0,69.01,2.5
Mahindra,Bolero 2011-2019,2015,Diesel,Manual,First Owner,156975,15.96,2523.0,62.1,4.6
Toyota,Corolla Altis,2017,Diesel,Manual,First Owner,5000,21.43,1364.0,86.79,15.94
Chevrolet,Sail 1.2,2014,Petrol,Manual,First Owner,50000,18.2,1199.0,82.4,3.0
Ford,EcoSport 1.5,2018,Diesel,Manual,First Owner,27620,22.77,1498.0,98.59,9.5
Mahindra,Scorpio LX,2013,Diesel,Manual,First Owner,120000,12.05,2179.0,120.0,4.85
Mahindra,Xylo E8,2009,Diesel,Manual,Third Owner,120000,14.0,2498.0,112.0,1.61
Hyundai,i20 Active,2015,Petrol,Manual,First Owner,58000,17.19,1197.0,81.86,5.0
Nissan,Sunny XV,2012,Petrol,Manual,First Owner,50000,16.95,1498.0,97.7,3.5
Maruti,Ignis 1.2,2017,Petrol,Automatic,First Owner,40000,20.89,1197.0,81.8,5.5
Honda,WR-V i-VTEC,2018,Petrol,Manual,First Owner,7800,17.5,1199.0,88.7,8.5
Maruti,Alto 800,2016,Petrol,Manual,First Owner,50000,22.74,796.0,47.3,2.4
Ford,Endeavour 2.5L,2011,Diesel,Manual,First Owner,68000,13.1,2499.0,141.0,9.5
Maruti,Ertiga VXI,2015,Petrol,Manual,Second Owner,60000,16.02,1373.0,93.7,4.23
Tata,Indigo GLS,2005,Petrol,Manual,Second Owner,74000,12.8,1396.0,85.0,0.9
Tata,New Safari,2011,Diesel,Manual,Second Owner,58000,13.93,2179.0,138.1,3.5
Maruti,A-Star Vxi,2011,Petrol,Manual,Third Owner,70000,19.0,998.0,66.1,1.7
Ford,Figo Aspire,2015,Petrol,Manual,First Owner,70000,18.16,1196.0,86.8,4.5
Hyundai,i10 Magna,2009,Petrol,Manual,Second Owner,110000,20.36,1197.0,78.9,1.5
Hyundai,i20 Sportz,2016,Diesel,Manual,First Owner,80000,22.54,1396.0,88.73,5.11
Maruti,Ertiga 1.5,2018,Diesel,Manual,First Owner,59000,24.2,1498.0,93.87,8.5
Tata,Indica V2,2018,Diesel,Manual,First Owner,110000,25.0,1396.0,69.0,2.5
Maruti,Celerio ZXI,2020,Petrol,Manual,First Owner,25000,21.63,998.0,67.04,4.2
Maruti,Alto 800,2014,Petrol,Manual,First Owner,55000,22.74,796.0,47.3,1.8
Maruti,Celerio ZDi,2015,Diesel,Manual,First Owner,25000,27.62,793.0,47.0,4.0
Mahindra,Xylo E4,2009,Diesel,Manual,First Owner,300000,14.0,2498.0,112.0,1.5
Ford,Figo 1.5D,2016,Diesel,Manual,First Owner,143200,25.83,1498.0,99.0,5.0
Jeep,Compass 2.0,2017,Diesel,Manual,First Owner,60000,17.1,1956.0,170.0,16.9
Nissan,Micra Diesel,2012,Diesel,Manual,First Owner,120000,23.08,1461.0,63.1,2.05
Maruti,Ciaz VDi,2014,Diesel,Manual,Second Owner,145000,26.21,1248.0,88.5,4.6
Hyundai,i20 2015-2017,2017,Petrol,Manual,First Owner,30000,18.6,1197.0,81.83,6.0
Hyundai,Grand i10,2019,Petrol,Manual,First Owner,8000,18.9,1197.0,81.86,5.85
